Datetime,Damage Done,Kills,Time Survived,Respawned Allies,Revived Allies,Killed Champion,Squad Placed
2019-03-24 13:46:17.472368,217,3,04:29,0,0,0,Not Captured
2019-03-24 13:54:40.974167,347,2,06:14,0,0,0,8
